english_sentence,korean_sentence
"Hello, how are you?","안녕하세요, 어떻게 지내세요?"
"Thank you!","감사합니다!"
"Acephala have no head and instead have well-developed feet that are directly attached to the torso.", "무두족류는 머리가 없고, 대신 몸통에 직접 붙어 있는 발달된 발이 있습니다."
"I'm Yooyang.","저는 유양이에요."
"Ms. Yooyang, are you Chinese?","유양 씨는 중국 사람이에요?"
"I'm not a student.","저는 학생이 아니에요."
"That person is Ms. Huong.","저 사람은 흐엉 씨예요."
"Mr. Daniel is Mr. Steve's younger brother.","다니엘 씨는 스티브 씨의 남동생이에요."
"Huong is an office worker.","흐엉 씨가 회사원이에요."
"What is the name of your apartment?","아파트의 이름이 뭐예요?"
"The fitness club is very large.","헬스클럽이 아주 넓어요."
"My house is small.","집이 작아요."
"There is a window in the room.","방에 창문이 있어요."
"Is there a pet in your house?","집에 애완동물이 있어요?"
"There is no chair on the veranda.","베란다에 의자가 없어요."
"Where is your company?","회사가 어디에 있어요?"
"The elevator is over there.","엘리베이터는 저쪽에 있어요."
"The lounges are on the fifth and tenth floors.","휴게실은 오 층하고 십 층에 있어요."
"The copy machine is in front of the window.","복사기는 창문 앞에 있어요."
"There are twenty desks in the office.","사무실에 책상이 스무 개 있어요."
"How many employees are there in the office?","사무실에 직원이 몇 명 있어요?"
"I have a younger sister.","저는 여동생이 있어요."
"I have an elder sister, too.","누나도 있어요."
"She is outgoing.","성격이 활발해요."
"My girlfriend is a student.","여자 친구는 학생이에요."
"My girlfriend is tall.","제 여자 친구는 키가 커요."
"Mr. Woobin, do you meet your girlfriend often?","우빈 씨는 여자 친구를 자주 만나요?"
"I usually read books at coffee shops.","보통 커피숍에서 책을 읽어요."
"Mr. Woobin, what movies do you like?","우빈 씨는 무슨 영화를 좋아해요?"
"I want to learn sports.","저는 운동을 배우고 싶어요."
"Yooyang wants to learn tennis.","유양 씨가 테니스를 배우고 싶어 해요."
"I don't travel often.","여행을 자주 하지 않아요."
"I don't like classical music.","저는 클래식 음악을 안 좋아해요."
"It's 10:30 am.","오전 열 시 삼십 분이에요."
"I usually go to bed at eleven.","보통 11시에 자요."
"I am going to the swimming pool.","수영장에 가요."
"I have a class at nine.","9시부터 수업이 있어요."
"I have classes until 4:00 pm.","오후 4시까지 수업이 있어요."
"By what time do you go to work?","몇 시까지 출근해요?"
"Shall we have dinner together?","같이 저녁을 먹을까요?"
"Where shall we eat?","어디에서 식사를 할까요?"
"Let's eat Chinese food. It's been a while since we ate Chinese.","오랜만에 중국 음식을 먹읍시다."
"Dwaejigalbi (barbecue pork rib) and naengmyun (cold noodles) are good.","돼지갈비랑 냉면이 맛있어요."
"Please give us two orders of dwaejigalbi (barbecue pork rib) and one naengmyun (cold noodles).","여기 돼지갈비 2인분하고 냉면 주세요."
"Then, shall we eat pork cutlet or chicken?","그럼 돈가스나 치킨을 먹을까요?"
"How long does it take from your house to your company?","집에서 회사까지 얼마나 걸려요?"
"Let's go to Seoul Station.","서울역으로 갑시다."
"Let's take the subway.","지하철로 갑시다."
"I cannot drive.","저는 운전을 하지 못해요."
"Let's not take the bus.","버스로 가지 맙시다."
"Please give me one adult ticket and one child ticket.","어른 표 1장과 어린이 표 1장 주세요."
"I cannot go to the party.","저는 파티에 못 가요."
"I am going to the bakery to buy a cake.","빵집에 케이크를 사러 가요."
"Shall I buy some fruit and drinks?","제가 과일과 음료수를 살까요?"
"Don't forget.","잊지 마세요."
"It's a gift from me.","제 선물입니다."
"Is Ms. Yooyang's birthday party today?","유양 씨 생일 파티가 오늘입니까?"
"It's not black tea.","홍차가 아닙니다."
"I'm hungry.","배가 고픕니다."
"How does it taste?","맛이 어떻습니까?"
"I don't eat fish often.","생선은 자주 먹지 않습니다."
"My father likes jajangmyun (black noodles).","저희 아버지께서 짜장면을 좋아하십니다."
"What kind of tea do you like?","무슨 차를 좋아하십니까?"
"Mr. Woobin, please prepare the material.","우빈 씨가 자료를 준비하십시오."
"Is Kim Bujangnim going to make a presentation at the meeting?","회의에서 김 부장님께서 발표하십니까?"
"I have finished preparing the material.","다 만들었습니다."
"I designed it together with my team members.","저희 팀원들과 같이 디자인을 했습니다."
"I will make a reservation later.","제가 이따가 예약하겠습니다."
"Who will make a presentation?","누가 발표를 하시겠어요?"
"I would like to buy my girlfriend perfume as a gift.","여자 친구에게 향수를 선물하고 싶어요."
"I want to get one for my mother.","어머니께 드리고 싶어요."
"I received them from my friend.","친구에게서 받았어요."
"My mother gavie it to me as a gift to celebrate my acceptance to the school.","할머니께 입학 선물을 받았어요."
"They are from my hometown.","고향에서 왔어요."
"My father gave it to me.","아버지께서 주셨어요."
"There is a bike rental shop over there.","저쪽에 자전거를 빌리는 곳이 있어요."
"Beautiful flowers bloom in the Han River.","한강에 예쁜 꽃이 피었어요."
"It's the ferry ticket for tonight.","오늘 저녁에 탈 유람선 표예요."
"I keep thinking about the night view I saw yesterday.","어제 본 야경이 계속 생각나요."
"There are a lot of people at the Han River today.","오늘 한강에 사람이 정말 많군요."
"I like juice more than coke.","저는 콜라보다 주스를 더 좋아해요."
"I'm going to have a housewarming party.","집들이를 할 거예요."
"I will definitely come.","꼭 갈게요."
"I can eat spicy food, but my friends cannot.","저는 매운 음식을 잘 먹지만 친구들은 매운 음식을 잘 못 먹어요."
"Maybe, my friend will like the present.","아마 친구도 그 선물을 좋아할 거예요."
"Will all of my friends that I invited come to the housewarming party today?","오늘 집들이에 초대한 친구들이 다 올까요?"
